dataset_id,page_idx,gt_tokens,pred_tokens,correct,substitutions,deletions,insertions,accuracy
40,1,4,4,4,0,0,0,1.000000
40,2,4,4,4,0,0,0,1.000000
40,3,4,4,4,0,0,0,1.000000
40,4,9,9,9,0,0,0,1.000000
40,5,2,2,2,0,0,0,1.000000
40,6,4,4,4,0,0,0,1.000000
40,7,3,3,3,0,0,0,1.000000
40,8,3,3,3,0,0,0,1.000000
40,9,6,6,6,0,0,0,1.000000
40,10,6,6,6,0,0,0,1.000000
40,11,4,4,4,0,0,0,1.000000
41,0,2,2,2,0,0,0,1.000000
41,1,4,4,4,0,0,0,1.000000
41,2,4,4,4,0,0,0,1.000000
41,3,4,4,4,0,0,0,1.000000
41,4,9,9,9,0,0,0,1.000000
41,5,2,2,2,0,0,0,1.000000
41,6,4,4,4,0,0,0,1.000000
41,7,3,3,3,0,0,0,1.000000
41,8,3,3,3,0,0,0,1.000000
41,9,6,6,5,1,0,0,0.833333
41,10,6,6,6,0,0,0,1.000000
41,11,4,4,4,0,0,0,1.000000
42,0,2,2,2,0,0,0,1.000000
42,1,4,4,4,0,0,0,1.000000
42,2,4,4,4,0,0,0,1.000000
42,3,4,4,4,0,0,0,1.000000
42,4,9,9,9,0,0,0,1.000000
42,5,2,2,2,0,0,0,1.000000
42,6,4,4,4,0,0,0,1.000000
42,7,3,3,3,0,0,0,1.000000
42,8,3,3,3,0,0,0,1.000000
42,9,6,6,6,0,0,0,1.000000
42,10,6,6,6,0,0,0,1.000000
42,11,4,4,4,0,0,0,1.000000
43,0,2,2,2,0,0,0,1.000000
43,1,4,4,4,0,0,0,1.000000
43,2,4,4,4,0,0,0,1.000000
43,3,4,4,4,0,0,0,1.000000
43,4,9,9,9,0,0,0,1.000000
43,5,2,2,2,0,0,0,1.000000
43,6,4,4,4,0,0,0,1.000000
43,7,3,3,3,0,0,0,1.000000
43,8,3,3,3,0,0,0,1.000000
43,9,6,6,6,0,0,0,1.000000
43,10,6,6,6,0,0,0,1.000000
43,11,4,4,4,0,0,0,1.000000
44,0,2,2,2,0,0,0,1.000000
44,1,4,4,3,1,0,0,0.750000
44,2,4,4,4,0,0,0,1.000000
44,3,4,4,4,0,0,0,1.000000
44,4,9,9,8,1,0,0,0.888889
44,5,2,2,2,0,0,0,1.000000
44,6,4,4,4,0,0,0,1.000000
44,7,3,3,3,0,0,0,1.000000
44,8,3,3,3,0,0,0,1.000000
44,9,6,6,6,0,0,0,1.000000
44,10,6,6,6,0,0,0,1.000000
44,11,4,4,4,0,0,0,1.000000
45,0,2,2,2,0,0,0,1.000000
45,1,4,4,4,0,0,0,1.000000
45,2,4,4,3,1,0,0,0.750000
45,3,4,4,4,0,0,0,1.000000
45,4,9,9,9,0,0,0,1.000000
45,5,2,2,2,0,0,0,1.000000
45,6,4,4,4,0,0,0,1.000000
45,7,3,3,3,0,0,0,1.000000
45,8,3,3,3,0,0,0,1.000000
45,9,6,6,6,0,0,0,1.000000
45,10,6,6,6,0,0,0,1.000000
45,11,4,4,4,0,0,0,1.000000
46,0,2,2,2,0,0,0,1.000000
46,1,4,4,4,0,0,0,1.000000
46,2,4,4,4,0,0,0,1.000000
46,3,4,4,4,0,0,0,1.000000
46,4,9,9,9,0,0,0,1.000000
46,5,2,2,2,0,0,0,1.000000
46,6,4,4,4,0,0,0,1.000000
46,7,3,3,3,0,0,0,1.000000
46,8,3,3,3,0,0,0,1.000000
46,9,6,6,6,0,0,0,1.000000
46,10,6,6,6,0,0,0,1.000000
46,11,4,4,4,0,0,0,1.000000
47,0,2,2,2,0,0,0,1.000000
47,1,4,4,4,0,0,0,1.000000
47,2,4,4,4,0,0,0,1.000000
47,3,4,4,4,0,0,0,1.000000
47,4,9,9,9,0,0,0,1.000000
47,5,2,2,2,0,0,0,1.000000
47,6,4,4,4,0,0,0,1.000000
47,7,3,3,3,0,0,0,1.000000
47,8,3,3,3,0,0,0,1.000000
47,9,6,6,4,2,0,0,0.666667
47,10,6,6,6,0,0,0,1.000000
47,11,4,4,4,0,0,0,1.000000
48,0,2,2,2,0,0,0,1.000000
48,1,4,4,4,0,0,0,1.000000
48,2,4,4,4,0,0,0,1.000000
48,3,4,4,4,0,0,0,1.000000
48,4,9,9,9,0,0,0,1.000000
48,5,2,2,2,0,0,0,1.000000
48,6,4,4,4,0,0,0,1.000000
48,7,3,3,3,0,0,0,1.000000
48,8,3,3,3,0,0,0,1.000000
48,9,6,6,5,1,0,0,0.833333
48,10,6,6,4,2,0,0,0.666667
48,11,4,4,4,0,0,0,1.000000
49,0,2,2,2,0,0,0,1.000000
49,1,4,4,4,0,0,0,1.000000
49,2,4,4,3,1,0,0,0.750000
49,3,4,4,4,0,0,0,1.000000
49,4,9,9,9,0,0,0,1.000000
49,5,2,2,2,0,0,0,1.000000
49,6,4,4,4,0,0,0,1.000000
49,7,3,3,3,0,0,0,1.000000
49,8,3,3,3,0,0,0,1.000000
49,9,6,6,6,0,0,0,1.000000
49,10,6,6,6,0,0,0,1.000000
49,11,4,4,4,0,0,0,1.000000
50,0,2,2,2,0,0,0,1.000000
50,1,4,4,4,0,0,0,1.000000
50,2,4,4,4,0,0,0,1.000000
50,3,4,4,4,0,0,0,1.000000
50,4,9,9,9,0,0,0,1.000000
50,5,2,2,2,0,0,0,1.000000
50,6,4,4,4,0,0,0,1.000000
50,7,3,3,3,0,0,0,1.000000
50,8,3,3,3,0,0,0,1.000000
50,9,6,6,6,0,0,0,1.000000
50,10,6,6,6,0,0,0,1.000000
50,11,4,4,4,0,0,0,1.000000
51,0,2,2,2,0,0,0,1.000000
51,1,4,4,4,0,0,0,1.000000
51,2,4,4,4,0,0,0,1.000000
51,3,4,4,4,0,0,0,1.000000
51,4,9,9,9,0,0,0,1.000000
51,5,2,2,2,0,0,0,1.000000
51,6,4,4,4,0,0,0,1.000000
51,7,3,3,3,0,0,0,1.000000
51,8,3,3,3,0,0,0,1.000000
51,9,6,6,5,1,0,0,0.833333
51,10,6,6,6,0,0,0,1.000000
51,11,4,4,4,0,0,0,1.000000
52,0,4,4,4,0,0,0,1.000000
52,1,4,4,4,0,0,0,1.000000
52,2,6,6,6,0,0,0,1.000000
52,3,8,8,8,0,0,0,1.000000
52,4,3,3,3,0,0,0,1.000000
52,5,2,2,2,0,0,0,1.000000
52,6,2,2,2,0,0,0,1.000000
52,7,2,2,2,0,0,0,1.000000
52,8,6,6,6,0,0,0,1.000000
52,9,6,6,6,0,0,0,1.000000
52,10,7,7,7,0,0,0,1.000000
52,11,2,2,2,0,0,0,1.000000
52,12,2,2,1,1,0,0,0.500000
53,0,4,4,4,0,0,0,1.000000
53,1,4,4,4,0,0,0,1.000000
53,2,6,6,6,0,0,0,1.000000
53,3,8,8,8,0,0,0,1.000000
53,4,3,3,3,0,0,0,1.000000
53,5,2,2,1,1,0,0,0.500000
53,6,2,2,0,2,0,0,0.000000
53,7,2,2,2,0,0,0,1.000000
53,8,6,6,6,0,0,0,1.000000
53,9,6,6,6,0,0,0,1.000000
53,10,7,7,7,0,0,0,1.000000
53,11,2,2,2,0,0,0,1.000000
53,12,2,2,2,0,0,0,1.000000
54,0,4,4,4,0,0,0,1.000000
54,1,4,4,3,1,0,0,0.750000
54,2,6,6,6,0,0,0,1.000000
